id,field,tp,fp,fn,pred,gold
265,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
268,entities,0,2,2,location;victim,government_agency;money
268,relations,1,4,0,normal_call;refers_to_family;requests_remote_control;requests_specific_action;warns_against_disclosure,normal_call
268,qualifiers,0,2,0,coercive_pressure;institutional_pretext,
294,entities,1,2,0,bank_employee;location;money,money
294,relations,1,11,0,cites_legal_authority;claims_financial_loss;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency
294,qualifiers,0,1,1,urgency,temporal_pressure
317,entities,2,7,1,bank_employee;caller;case_number;family_member;investigation;location;money;third_party;victim,family_member;government_agency;money
317,relations,1,14,1,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;threatens_arrest
317,qualifiers,1,3,0,coercive_pressure;institutional_pretext;temporal_pressure;urgency,temporal_pressure
320,entities,1,4,1,loan;location;prosecutor;third_party;victim,money;prosecutor
320,relations,3,12,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;impersonates_official;normal_call
320,qualifiers,1,1,2,institutional_pretext;urgency,institutional_pretext;requested_action_type;temporal_pressure
336,entities,1,7,1,document;family_member;government_agency;location;personal_information;phone_call;third_party;victim,family_member;money
336,relations,2,11,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,normal_call;warns_against_disclosure
336,qualifiers,0,2,0,coercive_pressure;institutional_pretext,
353,entities,1,3,1,family_member;loan;location;third_party,family_member;money
353,relations,2,12,0,claims_financial_loss;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
353,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
369,entities,2,6,0,case_number;document;family_member;location;money;personal_information;third_party;victim,family_member;personal_information
369,relations,4,11,1,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call;requests_personal_info;threatens_arrest;warns_against_disclosure
369,qualifiers,0,4,1,coercive_pressure;institutional_pretext;requested_action_type;urgency,temporal_pressure
375,entities,2,2,0,location;money;prosecutor;third_party,money;prosecutor
375,relations,2,10,0,claims_financial_loss;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_suspicious_activity;normal_call;requests_personal_info;requests_physical_action;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;impersonates_official
375,qualifiers,0,1,2,urgency,institutional_pretext;temporal_pressure
402,entities,0,5,1,case_number;loan;location;third_party;victim,money
402,relations,2,14,1,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call;threatens_arrest
402,qualifiers,1,2,1,coercive_pressure;institutional_pretext;urgency,coercive_pressure;temporal_pressure
405,entities,0,3,1,location;phone_call;third_party,money
405,relations,2,7,0,creates_urgency;demands_secrecy;normal_call;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
405,qualifiers,0,2,1,institutional_pretext;urgency,temporal_pressure
427,entities,2,6,0,bank_employee;family_member;location;money;personal_information;phone_call;third_party;victim,family_member;money
427,relations,2,14,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;induces_fear;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
427,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
431,entities,2,4,0,caller;family_member;location;money;third_party;victim,family_member;money
431,relations,1,11,0,claims_financial_loss;demands_money_transfer;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_security_code;requests_verification_code;warns_against_disclosure,normal_call
431,qualifiers,0,2,0,coercive_pressure;temporal_pressure,
442,entities,2,1,0,family_member;money;third_party,family_member;money
442,relations,2,7,0,claims_financial_loss;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
442,qualifiers,0,2,1,coercive_pressure;urgency,temporal_pressure
455,entities,1,3,0,family_member;location;money;victim,money
455,relations,1,8,0,claims_financial_loss;creates_urgency;demands_secrecy;induces_fear;normal_call;refers_to_family;requests_physical_action;requests_specific_action;warns_against_disclosure,creates_urgency
455,qualifiers,0,2,1,institutional_pretext;urgency,temporal_pressure
476,entities,2,3,0,family_member;location;money;third_party;victim,family_member;money
476,relations,1,13,0,claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_verification_code;warns_against_disclosure,creates_urgency
476,qualifiers,0,2,1,coercive_pressure;urgency,temporal_pressure
484,entities,1,3,1,family_member;money;third_party;victim,money;personal_information
484,relations,1,14,1,claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;requests_personal_info
484,qualifiers,1,3,0,coercive_pressure;institutional_pretext;temporal_pressure;urgency,temporal_pressure
499,entities,1,4,0,family_member;location;personal_information;third_party;victim,family_member
499,relations,2,12,0,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
499,qualifiers,0,2,1,coercive_pressure;urgency,temporal_pressure
512,entities,2,2,0,family_member;location;money;phone_call,family_member;money
512,relations,2,9,0,claims_financial_loss;creates_urgency;demands_money_transfer;demands_secrecy;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
512,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
514,entities,3,2,0,family_member;location;money;police_officer;third_party,family_member;money;police_officer
514,relations,2,16,1,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;impersonates_official;threatens_arrest
514,qualifiers,3,1,0,coercive_pressure;institutional_pretext;temporal_pressure;urgency,coercive_pressure;institutional_pretext;temporal_pressure
544,entities,1,5,0,case_number;family_member;location;money;third_party;victim,money
544,relations,1,14,1,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;threatens_arrest
544,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
570,entities,1,3,0,family_member;location;money;third_party,money
570,relations,1,7,0,claims_financial_loss;creates_urgency;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_verification_code;warns_against_disclosure,creates_urgency
570,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
571,entities,1,2,0,bank_employee;location;money,money
571,relations,1,9,0,claims_financial_loss;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;requests_remote_control;requests_verification_code,creates_urgency
571,qualifiers,0,3,1,institutional_pretext;requested_action_type;urgency,temporal_pressure
597,entities,0,7,1,bank_employee;family_member;location;personal_information;phone_call;third_party;victim,money
597,relations,2,15,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
597,qualifiers,1,2,0,coercive_pressure;temporal_pressure;urgency,temporal_pressure
606,entities,2,3,0,family_member;location;money;third_party;victim,family_member;money
606,relations,2,11,0,claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
606,qualifiers,1,3,0,coercive_pressure;institutional_pretext;temporal_pressure;urgency,temporal_pressure
615,entities,3,2,0,family_member;location;money;prosecutor;third_party,family_member;money;prosecutor
615,relations,3,12,0,claims_financial_loss;claims_identity_theft;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;impersonates_official;normal_call
615,qualifiers,2,1,1,coercive_pressure;institutional_pretext;urgency,coercive_pressure;institutional_pretext;temporal_pressure
620,entities,2,3,0,family_member;loan;location;money;third_party,family_member;money
620,relations,2,10,0,claims_financial_loss;creates_urgency;demands_secrecy;impersonates_official;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
620,qualifiers,0,2,1,coercive_pressure;urgency,temporal_pressure
636,entities,2,8,0,bank_employee;caller;family_member;loan;location;money;personal_information;phone_call;third_party;victim,family_member;money
636,relations,2,16,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
636,qualifiers,1,1,1,coercive_pressure;institutional_pretext,coercive_pressure;temporal_pressure
641,entities,0,3,1,location;phone_call;third_party,money
641,relations,2,9,0,cites_legal_authority;claims_financial_loss;creates_urgency;demands_secrecy;normal_call;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
641,qualifiers,1,2,0,coercive_pressure;temporal_pressure;urgency,temporal_pressure
672,entities,2,3,0,case_number;family_member;location;money;victim,family_member;money
672,relations,2,8,1,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;warns_against_disclosure,creates_urgency;normal_call;threatens_arrest
672,qualifiers,0,4,1,coercive_pressure;institutional_pretext;requested_action_type;urgency,temporal_pressure
677,entities,0,6,1,case_number;family_member;location;personal_information;third_party;victim,money
677,relations,2,13,1,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call;threatens_arrest
677,qualifiers,1,2,1,coercive_pressure;institutional_pretext;urgency,coercive_pressure;temporal_pressure
702,entities,1,7,1,arrest_warrant;document;family_member;government_agency;loan;location;third_party;victim,family_member;money
702,relations,2,12,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;threatens_arrest;warns_against_disclosure,creates_urgency;normal_call
702,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
713,entities,1,5,0,caller;family_member;location;money;third_party;victim,money
713,relations,2,12,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
713,qualifiers,1,1,1,coercive_pressure;urgency,coercive_pressure;temporal_pressure
719,entities,2,2,0,family_member;location;money;third_party,family_member;money
719,relations,1,11,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;induces_fear;mentions_suspicious_activity;normal_call;requests_physical_action;requests_remote_control;requests_specific_action;warns_against_disclosure,creates_urgency
719,qualifiers,1,1,1,coercive_pressure;urgency,coercive_pressure;temporal_pressure
764,entities,2,3,0,family_member;location;money;prosecutor;victim,money;prosecutor
764,relations,4,14,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_remote_control;requests_specific_action;requests_verification_code;threatens_arrest;warns_against_disclosure,creates_urgency;demands_money_transfer;impersonates_official;normal_call
764,qualifiers,2,2,1,coercive_pressure;institutional_pretext;requested_action_type;urgency,institutional_pretext;requested_action_type;temporal_pressure
782,entities,1,3,0,case_number;location;money;victim,money
782,relations,1,12,1,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;normal_call;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;threatens_arrest
782,qualifiers,0,3,1,coercive_pressure;requested_action_type;urgency,temporal_pressure
819,entities,2,4,1,family_member;loan;location;money;third_party;victim,family_member;government_agency;money
819,relations,2,11,0,claims_financial_loss;claims_identity_theft;creates_urgency;demands_secrecy;impersonates_official;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
819,qualifiers,1,3,1,coercive_pressure;institutional_pretext;requested_action_type;urgency,coercive_pressure;temporal_pressure
820,entities,1,6,0,case_number;family_member;location;money;personal_information;third_party;victim,money
820,relations,2,11,1,claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_personal_info;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,normal_call;threatens_arrest;warns_against_disclosure
820,qualifiers,0,3,0,coercive_pressure;institutional_pretext;urgency,
825,entities,2,3,0,family_member;location;money;personal_information;victim,family_member;money
825,relations,1,14,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency
825,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
854,entities,2,3,0,family_member;government_agency;location;money;third_party,family_member;money
854,relations,2,7,0,cites_legal_authority;claims_financial_loss;creates_urgency;demands_secrecy;normal_call;refers_to_family;requests_physical_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
854,qualifiers,0,3,1,coercive_pressure;institutional_pretext;urgency,temporal_pressure
924,entities,3,3,1,family_member;location;money;prosecutor;third_party;victim,family_member;government_agency;money;prosecutor
924,relations,4,8,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;warns_against_disclosure,creates_urgency;impersonates_official;normal_call;warns_against_disclosure
924,qualifiers,1,2,1,coercive_pressure;institutional_pretext;urgency,institutional_pretext;temporal_pressure
959,entities,2,4,0,bank_employee;family_member;government_agency;location;money;third_party,family_member;money
959,relations,1,8,0,cites_legal_authority;claims_financial_loss;creates_urgency;impersonates_official;normal_call;refers_to_family;requests_physical_action;requests_remote_control;warns_against_disclosure,creates_urgency
959,qualifiers,0,4,1,coercive_pressure;institutional_pretext;requested_action_type;urgency,temporal_pressure
1001,entities,1,5,1,family_member;location;money;personal_information;third_party;victim,government_agency;money
1001,relations,2,15,0,claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_remote_control;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1001,qualifiers,1,1,1,coercive_pressure;urgency,coercive_pressure;temporal_pressure
1009,entities,2,4,0,family_member;location;money;personal_information;third_party;victim,family_member;money
1009,relations,2,11,0,claims_financial_loss;creates_urgency;demands_money_transfer;demands_secrecy;induces_fear;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1009,qualifiers,2,1,1,coercive_pressure;temporal_pressure;urgency,coercive_pressure;requested_action_type;temporal_pressure
1021,entities,1,4,1,document;investigation;location;money;victim,government_agency;money
1021,relations,2,12,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;requests_remote_control;requests_verification_code;threatens_arrest;warns_against_disclosure,creates_urgency;threatens_arrest
1021,qualifiers,1,3,1,coercive_pressure;institutional_pretext;temporal_pressure;urgency,requested_action_type;temporal_pressure
1123,entities,2,5,0,bank_employee;caller;family_member;loan;location;money;third_party,family_member;money
1123,relations,2,11,0,claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;impersonates_official;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1123,qualifiers,1,1,2,coercive_pressure;urgency,coercive_pressure;temporal_pressure;transfer_channel
1134,entities,1,5,1,bank_employee;family_member;government_agency;location;third_party;victim,family_member;money
1134,relations,2,14,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1134,qualifiers,1,2,1,coercive_pressure;institutional_pretext;urgency,coercive_pressure;temporal_pressure
1159,entities,2,6,0,caller;family_member;loan;location;money;phone_call;third_party;victim,family_member;money
1159,relations,2,11,0,cites_legal_authority;claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;induces_fear;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1159,qualifiers,0,2,1,coercive_pressure;urgency,temporal_pressure
1161,entities,2,3,0,family_member;location;money;third_party;victim,family_member;money
1161,relations,2,12,0,claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_secrecy;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1161,qualifiers,1,1,1,coercive_pressure;urgency,coercive_pressure;temporal_pressure
1207,entities,1,5,1,bank_employee;caller;family_member;location;third_party;victim,family_member;money
1207,relations,2,11,0,claims_financial_loss;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;impersonates_official;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1207,qualifiers,0,2,1,coercive_pressure;urgency,temporal_pressure
1228,entities,3,2,0,family_member;location;money;personal_information;victim,family_member;money;personal_information
1228,relations,3,15,0,cites_legal_authority;claims_financial_loss;claims_identity_theft;creates_false_narrative;creates_urgency;demands_money_transfer;demands_secrecy;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_specific_action;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call;requests_personal_info
1228,qualifiers,1,2,1,coercive_pressure;institutional_pretext;urgency,coercive_pressure;temporal_pressure
1234,entities,1,4,1,family_member;location;personal_information;phone_call;victim,family_member;money
1234,relations,2,14,0,claims_financial_loss;claims_identity_theft;creates_urgency;demands_secrecy;impersonates_official;induces_fear;mentions_case_number;mentions_suspicious_activity;normal_call;refers_to_family;requests_personal_info;requests_physical_action;requests_remote_control;requests_security_code;requests_verification_code;warns_against_disclosure,creates_urgency;normal_call
1234,qualifiers,1,0,1,coercive_pressure,coercive_pressure;temporal_pressure
1250,entities,3,3,0,family_member;loan;location;money;third_party;victim,family_member;loan;money
1250,relations,2,8,0,claims_financial_loss;creates_urgency;demands_secrecy;mentions_suspicious_activity;normal_call;refers_to_family;requests_physical_action;requests_remote_control;requests_specific_action;warns_against_disclosure,creates_urgency;normal_call
1250,qualifiers,1,3,1,coercive_pressure;institutional_pretext;requested_action_type;urgency,requested_action_type;temporal_pressure
